sim,scenario,lmm_coef,lmm_pval,lmm_reject,ancova_coef,ancova_pval,ancova_reject,lcmm_coef,lcmm_pval,lcmm_reject,jm_coef,jm_pval,jm_reject,jm_alpha,n_subjects,n_events
142,uniform,0.413200,0.000043,1,3.912926,0.000062,1,0.260524,0.000009,1,0.406675,0.000074,1,-0.068240,400,144
143,uniform,0.204059,0.051601,0,1.916119,0.048272,1,0.252817,0.027312,1,0.195277,0.067756,0,-0.080838,400,158
144,uniform,0.284159,0.006499,1,2.566727,0.008559,1,0.233025,0.000001,1,0.279726,0.008315,1,-0.068022,400,140
145,uniform,0.076684,0.471855,0,-0.024499,0.979957,0,0.220872,0.032065,1,0.074999,0.487978,0,-0.069477,400,147
146,uniform,0.426644,0.000056,1,3.547360,0.000437,1,0.278856,0.000013,1,0.424457,0.000077,1,-0.064395,400,158
147,uniform,0.278040,0.007826,1,3.119768,0.002185,1,0.242594,0.000003,1,0.268124,0.011264,1,-0.061083,400,135
148,uniform,0.330933,0.000948,1,3.419435,0.000372,1,0.186770,0.001038,1,0.325615,0.001335,1,-0.064028,400,154
149,uniform,0.205387,0.048358,1,0.391898,0.691305,0,0.157413,0.025901,1,0.218844,0.037777,1,-0.046815,400,132
150,uniform,0.339154,0.000810,1,1.917062,0.051593,0,0.232622,0.000510,1,0.347827,0.000719,1,-0.075639,400,143
151,uniform,0.167298,0.119335,0,1.593292,0.120293,0,0.248103,0.000016,1,0.164164,0.131532,0,-0.058972,400,141
152,uniform,0.340653,0.000987,1,2.483985,0.014234,1,0.242726,0.014810,1,0.340727,0.001087,1,-0.046938,400,146
153,uniform,0.250909,0.019783,1,1.917370,0.047728,1,0.082708,0.270504,0,0.248123,0.024104,1,-0.081679,400,150
154,uniform,0.336851,0.000334,1,4.131019,0.000005,1,0.233672,0.000027,1,0.325709,0.000670,1,-0.068032,400,136
155,uniform,0.414416,0.000161,1,2.544935,0.009868,1,0.225478,0.001235,1,0.420374,0.000167,1,-0.061334,400,162
156,uniform,0.111115,0.273826,0,1.701983,0.082451,0,0.243016,0.036426,1,0.099535,0.333497,0,-0.054087,400,145
157,uniform,0.342800,0.000606,1,3.302241,0.000447,1,0.241604,0.000899,1,0.336004,0.000971,1,-0.069656,400,145
158,uniform,0.247031,0.020103,1,2.377924,0.018838,1,0.170056,0.004499,1,0.242280,0.025067,1,-0.077317,400,131
159,uniform,0.265458,0.009587,1,2.893341,0.002274,1,0.229365,0.000006,1,0.261883,0.011905,1,-0.060680,400,148
160,uniform,0.479617,0.000000,1,4.191615,0.000002,1,0.309867,0.000164,1,0.480310,0.000001,1,-0.087902,400,135
161,uniform,0.416612,0.000038,1,4.211471,0.000014,1,0.279948,0.000011,1,0.413634,0.000058,1,-0.080298,400,129
162,uniform,0.440906,0.000019,1,4.735202,0.000003,1,0.261234,0.000000,1,0.435646,0.000029,1,-0.056343,400,147
163,uniform,0.294164,0.001760,1,2.919558,0.001790,1,0.273305,0.000000,1,0.289233,0.002413,1,-0.067218,400,122
164,uniform,0.284236,0.007565,1,1.788273,0.078046,0,0.261699,0.000045,1,0.286042,0.007944,1,-0.060293,400,147
165,uniform,0.209898,0.044941,1,2.483137,0.011403,1,0.250650,0.002709,1,0.200111,0.059233,0,-0.053706,400,145
166,uniform,0.342316,0.000527,1,2.641266,0.003922,1,0.324322,0.004045,1,0.338528,0.000763,1,-0.074133,400,139
167,uniform,0.187219,0.065307,0,1.379691,0.128524,0,0.215089,0.000231,1,0.183721,0.076483,0,-0.072500,400,159
168,uniform,0.167472,0.117040,0,1.329650,0.178017,0,0.069550,0.282471,0,0.164312,0.129314,0,-0.064603,400,161
169,uniform,0.365827,0.000821,1,2.508174,0.011155,1,0.273986,0.001449,1,0.367954,0.000989,1,-0.077886,400,142
170,uniform,0.301519,0.003484,1,3.274818,0.001141,1,0.195592,0.005035,1,0.295188,0.004511,1,-0.043228,400,148
171,uniform,0.246749,0.023301,1,1.908413,0.076735,0,0.188196,0.000730,1,0.244129,0.026211,1,-0.055810,400,133
172,uniform,0.247097,0.020939,1,2.821121,0.004370,1,0.176445,0.011023,1,0.237415,0.029129,1,-0.068372,400,153
173,uniform,0.125122,0.242223,0,2.542252,0.012277,1,0.226678,0.001391,1,0.112987,0.296403,0,-0.051333,400,165
174,uniform,0.319037,0.002602,1,3.460239,0.000476,1,0.318614,0.000000,1,0.314190,0.003455,1,-0.058365,400,147
175,uniform,0.264238,0.007187,1,2.097581,0.025749,1,0.242188,0.000000,1,0.262276,0.008559,1,-0.076396,400,127
176,uniform,0.535728,0.000001,1,5.293319,0.000000,1,0.386743,0.000217,1,0.526932,0.000002,1,-0.076353,400,142
177,uniform,0.304955,0.001844,1,2.424905,0.007023,1,0.223139,0.037648,1,0.301027,0.002669,1,-0.078155,400,148
178,uniform,0.092902,0.374327,0,0.909889,0.319097,0,0.243765,0.000006,1,0.086948,0.413756,0,-0.061943,400,162
179,uniform,0.304930,0.004692,1,3.485575,0.000589,1,0.195813,0.002112,1,0.289783,0.008391,1,-0.073697,400,137
180,uniform,0.237185,0.023378,1,2.268387,0.020279,1,0.265078,0.033214,1,0.229472,0.030345,1,-0.069325,400,145
181,uniform,0.288330,0.003805,1,2.071413,0.034389,1,0.144754,0.057450,0,0.290520,0.003916,1,-0.062295,400,138
182,uniform,0.376203,0.000597,1,3.070360,0.003259,1,0.215979,0.000189,1,0.375066,0.000706,1,-0.063935,400,142
183,uniform,0.364262,0.000250,1,3.135568,0.001326,1,0.217773,0.000014,1,0.367371,0.000262,1,-0.056657,400,128
184,uniform,0.382779,0.000182,1,3.641953,0.000181,1,0.214052,0.004168,1,0.376736,0.000285,1,-0.073767,400,137
185,uniform,0.271240,0.004982,1,1.633288,0.070800,0,0.273541,0.000095,1,0.281493,0.004608,1,-0.092036,400,148
186,uniform,0.261176,0.019069,1,2.220694,0.035139,1,0.212067,0.006373,1,0.259102,0.021584,1,-0.060978,400,153
187,uniform,0.362673,0.000238,1,2.850279,0.002954,1,0.258098,0.000002,1,0.365413,0.000285,1,-0.072460,400,126
188,uniform,0.172457,0.095703,0,2.302981,0.015760,1,0.192606,0.009300,1,0.164517,0.117394,0,-0.065287,400,158
189,uniform,0.241487,0.008344,1,2.345494,0.008134,1,0.106064,0.033173,1,0.239005,0.009791,1,-0.051265,400,140
