sim,scenario,lmm_coef,lmm_pval,lmm_reject,ancova_coef,ancova_pval,ancova_reject,lcmm_coef,lcmm_pval,lcmm_reject,jm_coef,jm_pval,jm_reject,jm_alpha,n_subjects,n_events
95,null,0.040394,0.693034,0,0.630109,0.509865,0,0.076011,0.495089,0,0.030499,0.770899,0,-0.086494,400,157
96,null,0.077450,0.472235,0,0.683257,0.512853,0,0.146954,0.051811,0,0.076563,0.484095,0,-0.066348,400,139
97,null,-0.119421,0.247616,0,-1.347099,0.170960,0,-0.004624,0.964509,0,-0.122914,0.238465,0,-0.052835,400,158
98,null,-0.038706,0.690322,0,-0.493995,0.620340,0,-0.071346,0.212340,0,-0.039675,0.685167,0,-0.047908,400,133
99,null,-0.046639,0.635836,0,0.710498,0.442620,0,0.076045,0.155125,0,-0.060967,0.545171,0,-0.086096,400,145
100,null,-0.012317,0.907708,0,0.436116,0.669010,0,-0.036151,0.588915,0,-0.022138,0.838064,0,-0.079774,400,151
101,null,0.009208,0.926236,0,1.284688,0.184393,0,0.080890,0.184408,0,0.000547,0.995685,0,-0.077436,400,149
102,null,0.027083,0.786085,0,0.308165,0.746153,0,0.232491,0.042461,1,0.024921,0.805834,0,-0.061021,400,145
103,null,-0.150234,0.149886,0,-1.232420,0.216946,0,0.048562,0.407483,0,-0.155754,0.141397,0,-0.068942,400,147
104,null,-0.086502,0.419799,0,0.238708,0.808196,0,-0.030831,0.592287,0,-0.094410,0.388684,0,-0.075264,400,156
105,null,-0.021081,0.833819,0,-0.668133,0.498256,0,0.041159,0.508886,0,-0.017741,0.862155,0,-0.064523,400,141
106,null,-0.130875,0.173377,0,-0.675819,0.471163,0,0.003567,0.958527,0,-0.134112,0.168034,0,-0.055234,400,139
107,null,0.056841,0.579402,0,0.259523,0.786966,0,0.041578,0.482520,0,0.061175,0.559106,0,-0.076087,400,153
108,null,0.203362,0.047964,1,0.326534,0.730381,0,0.139237,0.210844,0,0.218550,0.037555,1,-0.077930,400,158
109,null,-0.098468,0.357594,0,-0.717267,0.477683,0,0.045412,0.637150,0,-0.100547,0.356752,0,-0.077803,400,147
110,null,-0.106410,0.295420,0,-0.445265,0.646134,0,0.062014,0.272521,0,-0.112825,0.275245,0,-0.073692,400,149
111,null,0.167154,0.099982,0,0.804866,0.412786,0,0.156022,0.148912,0,0.175267,0.090738,0,-0.077818,400,143
112,null,0.042813,0.693863,0,0.939406,0.372929,0,0.044023,0.648176,0,0.029079,0.792217,0,-0.069418,400,142
113,null,-0.063523,0.539638,0,-0.464983,0.635774,0,0.002886,0.977119,0,-0.068334,0.516155,0,-0.072808,400,149
114,null,0.028260,0.789554,0,0.059380,0.953686,0,0.127246,0.137108,0,0.029860,0.780625,0,-0.052488,400,153
115,null,-0.004998,0.961313,0,0.127479,0.901917,0,0.147832,0.103968,0,-0.010459,0.919590,0,-0.043154,400,143
116,null,-0.166666,0.079495,0,0.287400,0.751137,0,-0.009887,0.877771,0,-0.180563,0.061825,0,-0.066816,400,147
117,null,0.009050,0.929599,0,-0.251483,0.790451,0,0.072135,0.289845,0,0.009022,0.930988,0,-0.070066,400,157
118,null,0.060691,0.562726,0,0.032579,0.973911,0,0.100284,0.288809,0,0.061589,0.562341,0,-0.052565,400,161
119,null,0.033759,0.748070,0,0.422769,0.662007,0,0.208875,0.043364,1,0.025644,0.810422,0,-0.065429,400,150
120,null,-0.030278,0.751912,0,0.131635,0.891901,0,0.031937,0.544013,0,-0.028356,0.768866,0,-0.047777,400,133
121,null,0.009852,0.922674,0,-0.955284,0.312267,0,-0.037916,0.511658,0,0.013916,0.893278,0,-0.077562,400,141
122,null,0.065295,0.526721,0,0.647360,0.516397,0,0.238934,0.040896,1,0.058817,0.575738,0,-0.066313,400,139
123,null,-0.087318,0.418563,0,-0.577471,0.564396,0,0.174450,0.068632,0,-0.094426,0.389817,0,-0.066135,400,156
124,null,0.036462,0.716212,0,-0.132468,0.889055,0,0.080502,0.324293,0,0.028972,0.777036,0,-0.082966,400,147
125,null,-0.013611,0.893260,0,0.053601,0.955615,0,0.266584,0.021804,1,-0.016941,0.869587,0,-0.070020,400,145
126,null,-0.033178,0.744979,0,-0.153129,0.873909,0,0.000687,0.989663,0,-0.033595,0.748786,0,-0.086985,400,143
127,null,0.081574,0.448348,0,1.417842,0.152893,0,0.061420,0.358933,0,0.069550,0.525058,0,-0.063113,400,155
128,null,0.018982,0.853708,0,0.491763,0.622265,0,0.181911,0.126836,0,0.015353,0.883215,0,-0.065229,400,146
129,null,-0.007723,0.941126,0,-0.573000,0.573328,0,0.066736,0.310468,0,-0.005485,0.958773,0,-0.063515,400,146
130,null,-0.053254,0.583328,0,-0.621766,0.489056,0,0.271463,0.000095,1,-0.056730,0.565402,0,-0.074224,400,163
131,null,-0.035506,0.720201,0,-0.462000,0.656865,0,0.018091,0.799673,0,-0.038488,0.699879,0,-0.058461,400,127
132,null,0.113608,0.266760,0,1.043789,0.292633,0,0.052328,0.515606,0,0.110509,0.288474,0,-0.075589,400,148
133,null,0.038389,0.712046,0,0.594162,0.539146,0,0.030985,0.671529,0,0.032427,0.759234,0,-0.066888,400,154
134,null,0.105998,0.284976,0,0.704481,0.481414,0,-0.014435,0.857338,0,0.107794,0.280280,0,-0.056830,400,142
135,null,0.027331,0.792133,0,0.267339,0.783300,0,0.075722,0.221699,0,0.027796,0.793315,0,-0.074852,400,159
136,null,-0.005835,0.955584,0,-0.142945,0.892609,0,-0.009542,0.855814,0,-0.007589,0.942738,0,-0.055076,400,137
137,null,0.153116,0.172069,0,0.989022,0.357117,0,0.054089,0.383056,0,0.152183,0.182286,0,-0.071865,400,159
138,null,0.042972,0.688622,0,0.099754,0.924903,0,0.141509,0.032436,1,0.043389,0.689283,0,-0.061521,400,144
139,null,0.164152,0.112895,0,0.281758,0.782583,0,0.097805,0.317337,0,0.170678,0.103590,0,-0.063708,400,134
140,null,-0.144595,0.182341,0,-1.214784,0.250089,0,0.013250,0.807432,0,-0.146989,0.180127,0,-0.056035,400,151
141,null,0.047929,0.652034,0,0.074424,0.938712,0,0.014241,0.874587,0,0.043074,0.690120,0,-0.055684,400,155
